rank,title,year,worldwide_box_office,domestic_box_office,foreign_box_office,movie_url
138,X-Men: Days of Future Past,"$512,124,166","$746,045,700","$233,921,534",31.4%,https://www.boxofficemojo.com/title/tt1877832/?ref_=bo_cso_table_138
139,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","$453,302,158","$745,013,115","$291,710,957",39.2%,https://www.boxofficemojo.com/title/tt0363771/?ref_=bo_cso_table_139
140,Monsters University,"$475,066,881","$743,559,645","$268,492,764",36.1%,https://www.boxofficemojo.com/title/tt1453405/?ref_=bo_cso_table_140
141,The Matrix Reloaded,"$460,271,476","$741,847,937","$281,576,461",38%,https://www.boxofficemojo.com/title/tt0234215/?ref_=bo_cso_table_141
142,Demon Slayer: Kimetsu No Yaiba Infinity Castle,"$601,710,909","$738,658,938","$136,948,029",18.5%,https://www.boxofficemojo.com/title/tt32820897/?ref_=bo_cso_table_142
143,Up,"$442,099,790","$735,103,954","$293,004,164",39.9%,https://www.boxofficemojo.com/title/tt1049413/?ref_=bo_cso_table_143
144,The Twilight Saga: Breaking Dawn - Part 1,"$450,182,472","$731,980,095","$281,797,623",38.5%,https://www.boxofficemojo.com/title/tt1324999/?ref_=bo_cso_table_144
145,F9: The Fast Saga,"$553,223,556","$726,229,501","$173,005,945",23.8%,https://www.boxofficemojo.com/title/tt5433138/?ref_=bo_cso_table_145
146,Ne Zha,"$722,425,728","$726,121,261","$3,695,533",0.5%,https://www.boxofficemojo.com/title/tt10627720/?ref_=bo_cso_table_146
147,Gravity,"$449,660,665","$723,753,370","$274,092,705",37.9%,https://www.boxofficemojo.com/title/tt1454468/?ref_=bo_cso_table_147
148,Mufasa: The Lion King,"$468,064,063","$722,631,756","$254,567,693",35.2%,https://www.boxofficemojo.com/title/tt13186482/?ref_=bo_cso_table_148
149,It,"$390,891,028","$719,766,009","$328,874,981",45.7%,https://www.boxofficemojo.com/title/tt1396484/?ref_=bo_cso_table_149
150,The Amazing Spider-Man 2,"$513,329,157","$716,934,779","$203,605,622",28.4%,https://www.boxofficemojo.com/title/tt1872181/?ref_=bo_cso_table_150
151,Dune: Part Two,"$432,700,000","$714,844,358","$282,144,358",39.5%,https://www.boxofficemojo.com/title/tt15239678/?ref_=bo_cso_table_151
152,Captain America: The Winter Soldier,"$454,654,931","$714,421,503","$259,766,572",36.4%,https://www.boxofficemojo.com/title/tt1843866/?ref_=bo_cso_table_152
153,The Twilight Saga: New Moon,"$413,724,747","$712,135,229","$298,410,482",41.9%,https://www.boxofficemojo.com/title/tt1259571/?ref_=bo_cso_table_153
154,Mission: Impossible - Rogue Nation,"$515,874,026","$710,916,403","$195,042,377",27.4%,https://www.boxofficemojo.com/title/tt2381249/?ref_=bo_cso_table_154
155,Dawn of the Planet of the Apes,"$502,098,977","$710,644,566","$208,545,589",29.4%,https://www.boxofficemojo.com/title/tt2103281/?ref_=bo_cso_table_155
156,Transformers,"$390,463,587","$709,709,780","$319,246,193",45%,https://www.boxofficemojo.com/title/tt0418279/?ref_=bo_cso_table_156
157,Mamma Mia!,"$562,099,163","$706,429,732","$144,330,569",20.4%,https://www.boxofficemojo.com/title/tt0795421/?ref_=bo_cso_table_157
158,Fast X,"$558,749,000","$704,875,015","$146,126,015",20.7%,https://www.boxofficemojo.com/title/tt5433140/?ref_=bo_cso_table_158
159,The Wandering Earth,"$694,021,099","$699,992,512","$5,971,413",0.8%,https://www.boxofficemojo.com/title/tt7605074/?ref_=bo_cso_table_159
160,The Hunger Games,"$287,209,927","$695,220,619","$408,010,692",58.7%,https://www.boxofficemojo.com/title/tt1392170/?ref_=bo_cso_table_160
161,Mission: Impossible - Ghost Protocol,"$485,315,477","$694,713,380","$209,397,903",30.1%,https://www.boxofficemojo.com/title/tt1229238/?ref_=bo_cso_table_161
162,Spider-Man: Across the Spider-Verse,"$309,230,984","$690,824,738","$381,593,754",55.2%,https://www.boxofficemojo.com/title/tt9362722/?ref_=bo_cso_table_162
163,Detective Chinatown 3,"$686,257,563","$686,257,563",-,-,https://www.boxofficemojo.com/title/tt10370822/?ref_=bo_cso_table_163
164,Forrest Gump,"$347,771,195","$678,226,465","$330,455,270",48.7%,https://www.boxofficemojo.com/title/tt0109830/?ref_=bo_cso_table_164
165,Doctor Strange,"$445,154,913","$677,796,833","$232,641,920",34.3%,https://www.boxofficemojo.com/title/tt1211837/?ref_=bo_cso_table_165
166,The Sixth Sense,"$379,300,439","$672,806,731","$293,506,292",43.6%,https://www.boxofficemojo.com/title/tt0167404/?ref_=bo_cso_table_166
167,Big Hero 6,"$449,579,771","$672,107,599","$222,527,828",33.1%,https://www.boxofficemojo.com/title/tt2245084/?ref_=bo_cso_table_167
168,Full River Red,"$670,491,959","$670,491,959",-,-,https://www.boxofficemojo.com/title/tt21148018/?ref_=bo_cso_table_168
169,Man of Steel,"$379,100,000","$670,145,518","$291,045,518",43.4%,https://www.boxofficemojo.com/title/tt0770828/?ref_=bo_cso_table_169
170,Ice Age 2: The Meltdown,"$471,987,795","$667,318,416","$195,330,621",29.3%,https://www.boxofficemojo.com/title/tt0438097/?ref_=bo_cso_table_170
171,Kung Fu Panda 2,"$500,443,218","$665,692,281","$165,249,063",24.8%,https://www.boxofficemojo.com/title/tt1302011/?ref_=bo_cso_table_171
172,The Hunger Games: Mockingjay - Part 2,"$383,181,253","$664,905,155","$281,723,902",42.4%,https://www.boxofficemojo.com/title/tt1951266/?ref_=bo_cso_table_172
173,Justice League,"$432,302,692","$661,326,987","$229,024,295",34.6%,https://www.boxofficemojo.com/title/tt0974015/?ref_=bo_cso_table_173
174,Fantastic Beasts: The Crimes of Grindelwald,"$496,200,000","$655,755,901","$159,555,901",24.3%,https://www.boxofficemojo.com/title/tt4123430/?ref_=bo_cso_table_174
175,Pirates of the Caribbean: The Curse of the Black Pearl,"$348,850,628","$654,264,546","$305,413,918",46.7%,https://www.boxofficemojo.com/title/tt0325980/?ref_=bo_cso_table_175
176,Men in Black³,"$475,192,631","$654,213,485","$179,020,854",27.4%,https://www.boxofficemojo.com/title/tt1409024/?ref_=bo_cso_table_176
177,Star Wars: Episode II - Attack of the Clones,"$343,103,984","$653,780,724","$310,676,740",47.5%,https://www.boxofficemojo.com/title/tt0121765/?ref_=bo_cso_table_177
178,Thor: The Dark World,"$438,421,000","$644,783,140","$206,362,140",32%,https://www.boxofficemojo.com/title/tt1981115/?ref_=bo_cso_table_178
179,Moana,"$394,575,930","$643,332,974","$248,757,044",38.7%,https://www.boxofficemojo.com/title/tt3521164/?ref_=bo_cso_table_179
180,How to Train Your Dragon,"$373,638,199","$636,596,299","$262,958,100",41.3%,https://www.boxofficemojo.com/title/tt26743210/?ref_=bo_cso_table_180
181,Wonka,"$416,100,000","$634,502,312","$218,402,312",34.4%,https://www.boxofficemojo.com/title/tt6166392/?ref_=bo_cso_table_181
182,Sing,"$363,759,984","$634,338,409","$270,578,425",42.7%,https://www.boxofficemojo.com/title/tt3470600/?ref_=bo_cso_table_182
183,F1: The Movie,"$444,400,000","$634,042,436","$189,642,436",29.9%,https://www.boxofficemojo.com/title/tt16311594/?ref_=bo_cso_table_183
184,Kung Fu Panda,"$416,320,241","$632,384,787","$216,064,546",34.2%,https://www.boxofficemojo.com/title/tt0441773/?ref_=bo_cso_table_184
185,The Incredibles,"$370,247,406","$631,688,498","$261,441,092",41.4%,https://www.boxofficemojo.com/title/tt0317705/?ref_=bo_cso_table_185
186,The Martian,"$402,187,743","$630,621,406","$228,433,663",36.2%,https://www.boxofficemojo.com/title/tt3659388/?ref_=bo_cso_table_186
